case_id,scenario,target,probe,random_seed,true_stiffness_n_per_m,true_damping_n_s_per_m,true_effective_mass_kg,batch_stiffness_n_per_m,batch_damping_n_s_per_m,batch_effective_mass_kg,batch_stiffness_relative_error,batch_damping_relative_error,batch_effective_mass_relative_error,batch_relative_error_rms,batch_force_rmse_n,rls_stiffness_n_per_m,rls_damping_n_s_per_m,rls_effective_mass_kg,rls_stiffness_relative_error,rls_damping_relative_error,rls_effective_mass_relative_error,rls_relative_error_rms,regression_rank,normalized_condition_number,normalized_min_singular_value,parameter_correlation_k_c,parameter_correlation_k_m,parameter_correlation_c_m,maximum_abs_parameter_correlation,peak_abs_probe_force_n,peak_abs_displacement_m,peak_abs_velocity_m_per_s,peak_abs_acceleration_m_per_s2
near_ideal__lightly_damped_flexible__half_sine,near_ideal,lightly_damped_flexible,half_sine,11302,300.0,0.5,1.0,299.9595583907875,0.4927246358048324,0.99896874073429,-0.00013480536404169167,-0.014550728390335221,-0.0010312592657100161,0.008422299069505796,0.005161336053903273,299.9595583907611,0.4927246358048397,0.9989687407341071,-0.0001348053641296095,-0.014550728390320566,-0.0010312592658928699,0.008422299069505288,3,1.5015097346068262,0.7839075879244461,-0.004669525764088896,0.385406050570146,-0.008828600482142552,0.38540605057014615,1.0,0.003730369862153773,0.01954681786328133,0.23466589069617938
near_ideal__lightly_damped_flexible__sinusoid,near_ideal,lightly_damped_flexible,sinusoid,11303,300.0,0.5,1.0,299.97220074028314,0.5009739836496695,0.9998631643557763,-9.266419905619235e-05,0.001947967299338993,-0.00013683564422373173,0.0011286994354286557,0.005157450926497789,299.97220073993753,0.500973983650147,0.9998631643540365,-9.266420020821897e-05,0.0019479673002940068,-0.0001368356459634512,0.00112869943607989,3,6.368658709035216,0.21936497275941436,-0.06301123452118634,0.9518611880602179,-0.06531644890317809,0.9518611880602179,0.9999210442038162,0.01135504603809052,0.1591110044355452,2.4121973255729414
near_ideal__lightly_damped_flexible__chirp,near_ideal,lightly_damped_flexible,chirp,11304,300.0,0.5,1.0,300.07317033730163,0.4996017279202981,1.0001466336815623,0.00024390112433877675,-0.0007965441594037781,0.0001466336815623137,0.0004883549914090872,0.005206501548528539,300.07317033683796,0.499601727920654,1.000146633680079,0.0002439011227932042,-0.0007965441586920141,0.00014663368007905575,0.0004883549906163484,3,6.666434041550119,0.20978728116864034,-0.04837021185870824,0.9559819329415721,-0.04759229619050308,0.9559819329415721,1.0,0.016204507480986903,0.296682309974626,5.817302513144629
near_ideal__lightly_damped_flexible__multisine,near_ideal,lightly_damped_flexible,multisine,11305,300.0,0.5,1.0,299.83039976237353,0.4936370239717024,0.9989771172092867,-0.0005653341254215624,-0.012725952056595213,-0.0010228827907132754,0.0073782506423420696,0.005153018570745054,299.83039976710245,0.49363702396017856,0.9989771172329788,-0.0005653341096585033,-0.012725952079642888,-0.001022882767021227,0.007378250654095444,3,1.9776110766035149,0.6381199693214901,-0.03843930897758103,0.5922711782657688,-0.025025145361158286,0.5922711782657694,0.9088358012080359,0.0026363050114178747,0.04186675746160244,0.9647145882318646
near_ideal__high_damping__ramp,near_ideal,high_damping,ramp,11401,300.0,50.0,1.0,299.8497427926899,49.877047896939295,0.610704147306528,-0.0005008573577003971,-0.0024590420612140918,-0.389295852693472,0.22476473527542012,0.0062868515711081195,299.84974279266777,49.87704789694594,0.6107041473054089,-0.0005008573577741041,-0.00245904206108122,-0.3892958526945911,0.22476473527606577,3,1.4455786385828042,0.8058555190917652,-0.31884820076500686,0.16485699940679685,-0.04504098823698639,0.31884820076500686,1.0,0.0033333332169547163,0.004416026719356782,0.02179394935827919
near_ideal__high_damping__half_sine,near_ideal,high_damping,half_sine,11402,300.0,50.0,1.0,299.183553719015,50.037346019531796,0.893073870144633,-0.0027214876032833975,0.0007469203906359212,-0.10692612985536698,0.06175532805810247,0.006625607601813414,299.18355371899094,50.03734601952842,0.8930738701441342,-0.002721487603363547,0.0007469203905684196,-0.1069261298558658,0.06175532805839127,3,1.7347547317955812,0.7062795152433292,0.001169456504810071,0.501166717960958,0.0020964388751073017,0.501166717960958,1.0,0.003046349748376349,0.008415897290134753,0.050980315706639884
near_ideal__high_damping__sinusoid,near_ideal,high_damping,sinusoid,11403,300.0,50.0,1.0,298.8037903534526,49.97653432042844,0.990774733884173,-0.00398736548849134,-0.0004693135914311597,-0.009225266115826969,0.005808754131875412,0.007070078505745569,298.80379035296977,49.97653432042619,0.9907747338810803,-0.003987365490100766,-0.0004693135914762081,-0.009225266118919717,0.0058087541338821495,3,8.293053306538978,0.16929664593824909,-0.11746267000492198,0.9713177425047824,-0.1148330740200834,0.9713177425047824,0.9999210442038162,0.0018982092367794497,0.02048699371768521,0.24795875597468744
near_ideal__high_damping__chirp,near_ideal,high_damping,chirp,11404,300.0,50.0,1.0,299.4256916126067,49.9973749494945,0.9988944102412631,-0.001914361291310911,-5.250101011000652e-05,-0.001105589758736869,0.001276696808741997,0.007026773563327003,299.42569161255466,49.99737494949117,0.9988944102411574,-0.001914361291484473,-5.250101017665543e-05,-0.0011055897588425623,0.00127669680886017,3,1.6440511166501561,0.7349242347651158,-0.0026594532490856622,0.4598718269246031,-0.004423514766307608,0.45987182692460316,1.0,0.002400543373274413,0.021608322852333287,0.819329421609734
near_ideal__high_damping__multisine,near_ideal,high_damping,multisine,11405,300.0,50.0,1.0,299.6439268552448,50.09183566135854,0.9999932936387879,-0.001186910482517381,0.0018367132271707475,-6.706361212138745e-06,0.0012625789675177195,0.007192280631312476,299.643926940484,50.09183566136615,0.9999932948808362,-0.0011869101983866888,0.0018367132273229459,-6.705119163785689e-06,0.0012625788763585427,3,1.3295721052811738,0.8500858499127194,-0.010811745426945239,0.2771973621930867,-0.001612425946584163,0.277197362193087,0.9088358012080359,0.001247532240855942,0.014736972240628227,0.6232191959687562
near_ideal__low_effective_mass__ramp,near_ideal,low_effective_mass,ramp,11501,300.0,5.0,0.1,300.0082341315123,4.997723912438267,0.09280407715499983,2.744710504108146e-05,-0.00045521751234662845,-0.07195922845000174,0.04154651423584038,0.0012252749104810416,300.0082341314913,4.997723912448489,0.09280407715635108,2.7447104970974577e-05,-0.0004552175103022194,-0.07195922843648922,0.04154651422803159,3,1.3427309976558965,0.8454195145931285,-0.27507416400457996,0.08459382029516802,-0.01747827887409909,0.27507416400458007,1.0,0.0033617585381014964,0.0053311263796243825,0.13862887797661538
