time_s,desired_force_n,contact_force_n,uav_x_m,uav_y_m,uav_z_m,target_x_m,target_v_mps,target_a_mps2,roll_rad,pitch_rad,yaw_rad,omega1,omega2,omega3,omega4
0.663,0,0.262940892516543,-0.298603481880416,-4.66911879755808e-12,0.999938299982948,0.000164971269796446,-0.00218776872816846,-0.0614522302480139,-6.01520550728817e-08,0.0143293411446965,-2.41918664638068e-06,442.151367676406,439.988927588864,437.823793266982,439.988897657489
0.664,0,0.258377381260633,-0.29861804517155,8.22593708600447e-12,0.999937565827339,0.000162752915428879,-0.00224879433229225,-0.060577917246161,-6.0023635378002e-08,0.0141938041097833,-2.42191925316773e-06,442.070224768775,439.989777601114,437.907315907982,439.989747926836
0.665,0,0.253841385408512,-0.298632641497587,2.13725701439691e-11,0.999936832731531,0.000160473993544831,-0.00230888300573857,-0.0595790036010435,-5.9892554214941e-08,0.0140584657613978,-2.42462260004657e-06,441.988964817241,439.990616594524,437.990904671975,439.990587181572
0.666,0,0.249331548706572,-0.2986472691613,3.4772337548325e-11,0.999936100750415,0.000158135502708065,-0.0023679121794537,-0.0584596759147728,-5.97588281284797e-08,0.0139233344239887,-2.42729710522877e-06,441.907622101945,439.991444395878,438.074524893989,439.991415248316
0.667,0,0.244845868288054,-0.298661926480855,4.84267767202579e-11,0.999935369938189,0.000155738561836769,-0.00242576383256793,-0.0572248348016859,-5.96224740832874e-08,0.0137884185262769,-2.42994318102069e-06,441.826229418324,439.992260843864,438.158143453554,439.992231965591
0.668,0,0.240381744589253,-0.298676611788391,6.23374051083495e-11,0.99993464034836,0.000153284405307734,-0.00248232517809514,-0.0558800374588513,-5.94835094140078e-08,0.0136537265866086,-2.43256123240228e-06,441.744817843929,439.993065789092,438.241729004741,439.993037183857
0.669,0,0.235936035916359,-0.298691323428214,7.65057199709165e-11,0.999933912033735,0.000150774377404338,-0.0025374892889039,-0.0544314357552808,-5.93419517745505e-08,0.0135192671970518,-2.43515165572441e-06,441.663416532736,439.993859094058,438.325252178255,439.993830765461
0.67,0,0.231505117008592,-0.298706059754614,9.09331981625009e-11,0.999933185046423,0.000148209926170158,-0.00259115565982906,-0.0528857105398399,-5.91978190870927e-08,0.013385049006451,-2.43771483753308e-06,441.58205253813,439.994640633029,438.408685754471,439.994612584532
0.671,0,0.227084940914228,-0.298720819129373,1.05621295924517e-10,0.999932459437827,0.000145592596733875,-0.00264323070250111,-0.0512500028919026,-5.9051129491275e-08,0.0132510807026611,-2.44025115352655e-06,441.50075066546,439.995410291862,438.492004806629,439.9953825268
0.672,0,0.222671103497891,-0.298735599918979,1.2057144868006e-10,0.999931735258643,0.000142924024174122,-0.00269362817019754,-0.0495318430356728,-5.89019012940471e-08,0.0131173709941803,-2.44276096764988e-06,441.419533354718,439.996167967775,438.575186813682,439.996140489363
0.673,0,0.218258909872879,-0.298750400491613,1.35785070832881e-10,0.999931012558856,0.000140205925995344,-0.00274226951074962,-0.0477390776565686,-5.8750152920602e-08,0.0129839285914016,-2.44524463132942e-06,441.338420593628,439.996913569052,438.658211742632,439.996886380396
0.674,0,0.21384344207178,-0.298765219213936,1.51263555570524e-10,0.999930291387742,0.000137440094287248,-0.00278908414626439,-0.0458797963374942,-5.85959028668268e-08,0.0128507621877005,-2.44770248284778e-06,441.257429861075,439.9976470147,438.741062100472,439.997620118811
0.675,0,0.209419627261663,-0.298780054447725,1.67008274671628e-10,0.999929571793858,0.000134628387641385,-0.00283400967914396,-0.0439622578330464,-5.84391696536404e-08,0.0127178804405704,-2.45013484685842e-06,441.176576100565,439.998368234073,438.823722956144,439.998341633874
0.676,0,0.204982305833468,-0.298794904546415,1.83020578317381e-10,0.999928853825045,0.000131772722898505,-0.00287699202458709,-0.0419948168734986,-5.82799717835718e-08,0.0125852919530097,-2.45254203403698e-06,441.09587172307,439.999077166439,438.906181933192,439.999050864779
0.677,0,0.200526298706118,-0.298809767851575,1.99301794907129e-10,0.999928137528426,0.000128875066799844,-0.00291798547044125,-0.0399858521735374,-5.81183276999001e-08,0.0124530052553576,-2.45492434086532e-06,441.015326638406,439.99977376053,438.988429174071,439.999747760192
0.678,0,0.196046473224049,-0.298824642689379,2.1585323087813e-10,0.999927422950399,0.000125937427614267,-0.00295695266593244,-0.037943696280124,-5.79542557486588e-08,0.0123210287877643,-2.45728204954259e-06,440.934948313973,440.000457974058,439.070457277299,440.000432277773
0.679,0,0.191537807039951,-0.298839527367097,2.32676170529428e-10,0.999926710136639,0.000122961846811371,-0.0029938645414197,-0.0358765678733578,-5.77877741437327e-08,0.0121893708834683,-2.45961542801656e-06,440.854741859507,440.001129773211,439.152261208884,440.001104383667
0.68,0,0.186995449428954,-0.298854420169676,2.49771875849855e-10,0.999925999132097,0.000119950390848216,-0.00302870016191093,-0.0337925070784916,-5.76189009352951e-08,0.0120580397530438,-2.46192473012729e-06,440.774710136254,440.001789132134,439.233838189644,440.001764051985
0.681,0,0.182414779504836,-0.298869319356428,2.67141586350139e-10,0.999925289980995,0.000116905143134297,-0.00306144651761844,-0.0316993143159976,-5.74476539817619e-08,0.0119270434697619,-2.46421019585436e-06,440.694853888789,440.002436032402,439.315187560252,440.00241126428
