time_s,displacement_m,velocity_m_per_s,acceleration_m_per_s2,elastic_force_n,damping_force_n,raw_force_n,force_n,analytical_force_n,contact_active
0.064,5.036236903938285e-05,0.0015685185190815547,0.024176954343603018,0.025181184519691424,0.031370370381631096,0.05655155490132252,0.05655155490132252,0.05655155490132252,1.0
0.065,5.1942973445585626e-05,0.0015926876933334082,0.024161354403399178,0.025971486722792814,0.031853753866668166,0.05782524058946098,0.05782524058946098,0.05782524058946098,1.0
0.066,5.3547739186319834e-05,0.0016168411484007224,0.02414551600038171,0.026773869593159916,0.03233682296801445,0.05911069256117436,0.05911069256117436,0.05911069256117436,1.0
0.067,5.517665042319542e-05,0.001640978645898647,0.02412943929086926,0.027588325211597712,0.03281957291797294,0.06040789812957065,0.06040789812957065,0.06040789812957065,1.0
0.068,5.68296910795163e-05,0.0016650999475998265,0.024113124433532453,0.02841484553975815,0.03330199895199653,0.06171684449175468,0.06171684449175468,0.06171684449175468,1.0
0.069,5.850684484043855e-05,0.0016892048154367512,0.02409657158939235,0.029253422420219277,0.03378409630873502,0.0630375187289543,0.0630375187289543,0.0630375187289543,1.0
0.07,6.020809515313142e-05,0.0017132930115041076,0.024079780921818845,0.03010404757656571,0.03426586023008215,0.06436990780664786,0.06436990780664786,0.06436990780664786,1.0
0.07100000000000001,6.193342522694157e-05,0.0017373642980611243,0.024062752596529034,0.030966712613470785,0.034747285961222486,0.06571399857469327,0.06571399857469327,0.06571399857469327,1.0
0.07200000000000001,6.368281803355718e-05,0.0017614184375339217,0.024045486781585627,0.031841409016778593,0.03522836875067843,0.06706977776745703,0.06706977776745703,0.06706977776745703,1.0
0.073,6.545625630717782e-05,0.0017854551925178537,0.02402798364739524,0.032728128153588915,0.035709103850357075,0.068437232003946,0.068437232003946,0.068437232003946,1.0
0.074,6.72537225446837e-05,0.0018094743257798533,0.024010243366706745,0.03362686127234185,0.036189486515597065,0.06981634778793891,0.06981634778793891,0.06981634778793891,1.0
0.075,6.90751990058086e-05,0.0018334756002607716,0.023992266114609546,0.034537599502904304,0.036669512005215434,0.07120711150811973,0.07120711150811973,0.07120711150811973,1.0
0.076,7.092066771331506e-05,0.0018574587790777196,0.023974052068531867,0.03546033385665753,0.037149175581554394,0.07260950943821193,0.07260950943821193,0.07260950943821193,1.0
0.077,7.279011045317251e-05,0.0018814236255264045,0.023955601408238984,0.03639505522658626,0.03762847251052809,0.07402352773711435,0.07402352773711435,0.07402352773711435,1.0
0.078,7.46835087747355e-05,0.0019053699030834666,0.023936914315831472,0.037341754387367754,0.03810739806166933,0.07544915244903708,0.07544915244903708,0.07544915244903708,1.0
0.079,7.660084399092688e-05,0.0019292973754088147,0.023917990975743385,0.038300421995463435,0.038585947508176295,0.07688636950363972,0.07688636950363972,0.07688636950363972,1.0
0.08,7.854209717842231e-05,0.0019532058063479562,0.023898831574740452,0.039271048589211155,0.03906411612695913,0.07833516471617027,0.07833516471617027,0.07833516471617027,1.0
0.081,8.050724917783636e-05,0.00197709495993433,0.023879436301918227,0.04025362458891818,0.0395418991986866,0.07979552378760478,0.07979552378760478,0.07979552378760478,1.0
0.082,8.24962805939125e-05,0.002000964600391635,0.023859805348700216,0.041248140296956254,0.0400192920078327,0.08126743230478894,0.08126743230478894,0.08126743230478894,1.0
0.083,8.450917179571305e-05,0.002024814492136156,0.02383993890883601,0.04225458589785652,0.04049628984272312,0.08275087574057964,0.08275087574057964,0.08275087574057964,1.0
0.084,8.65459029168153e-05,0.00204864439977909,0.023819837178399344,0.04327295145840765,0.040972887995581804,0.08424583945398945,0.08424583945398945,0.08424583945398945,1.0
0.085,8.860645385550481e-05,0.00207245408812887,0.023799500355786186,0.044303226927752404,0.0414490817625774,0.0857523086903298,0.0857523086903298,0.0857523086903298,1.0
0.08600000000000001,9.069080427497572e-05,0.0020962433221934835,0.023778928641712764,0.04534540213748786,0.04192486644386967,0.08727026858135753,0.08727026858135753,0.08727026858135753,1.0
0.08700000000000001,9.279893360353092e-05,0.002120011867182795,0.02375812223921359,0.04639946680176546,0.0424002373436559,0.08879970414542136,0.08879970414542136,0.08879970414542136,1.0
0.088,9.493082103478518e-05,0.0021437594885108592,0.023737081353639455,0.04746541051739259,0.04287518977021718,0.09034060028760976,0.09034060028760976,0.09034060028760976,1.0
0.089,9.708644552787026e-05,0.002167485951798244,0.023715806192655408,0.048543222763935134,0.043349719035964886,0.09189294179990001,0.09189294179990001,0.09189294179990001,1.0
0.09,9.926578580764234e-05,0.0021911910228743343,0.023694296966238697,0.04963289290382117,0.04382382045748669,0.09345671336130786,0.09345671336130786,0.09345671336130786,1.0
0.091,0.0001014688203648928,0.0022148744677796474,0.023672553886676707,0.0507344101824464,0.044297489355592946,0.09503189953803934,0.09503189953803934,0.09503189953803934,1.0
0.092,0.00010369552745656042,0.002238536052768145,0.023650577168564845,0.05184776372828021,0.0447707210553629,0.09661848478364311,0.09661848478364311,0.09661848478364311,1.0
0.093,0.00010594588510594445,0.0022621755443095353,0.02362836702880446,0.052972942552972226,0.045243510886190705,0.09821645343916294,0.09821645343916294,0.09821645343916294,1.0
0.094,0.00010821987110292391,0.0022857927090915806,0.023605923686600656,0.05410993555146196,0.04571585418183161,0.09982578973329356,0.09982578973329356,0.09982578973329356,1.0
0.095,0.0001105174630041747,0.002309387314022399,0.023583247363460163,0.05525873150208735,0.046187746280447986,0.10144647778253534,0.10144647778253534,0.10144647778253534,1.0
0.096,0.00011283863813339262,0.0023329591262327655,0.023560338283189135,0.05641931906669631,0.04665918252465531,0.10307850159135162,0.10307850159135162,0.10307850159135162,1.0
0.097,0.00011518337358151609,0.0023565079130784096,0.023537196671890945,0.057591686790758045,0.04713015826156819,0.10472184505232623,0.10472184505232623,0.10472184505232623,1.0
0.098,0.00011755164620695286,0.002380033442142312,0.023513822757963956,0.05877582310347643,0.04760066884284624,0.10637649194632268,0.10637649194632268,0.10637649194632268,1.0
0.099,0.00011994343263580843,0.002403535481237,0.023490216772099257,0.05997171631790422,0.04807070962474,0.10804242594264421,0.10804242594264421,0.10804242594264421,1.0
0.1,0.00012235870926211617,0.0024270137984068333,0.0234663789472784,0.061179354631058086,0.04854027596813666,0.10971963059919475,0.10971963059919475,0.10971963059919475,1.0
0.101,0.00012479745224807076,0.002450468161930302,0.0234423095187711,0.06239872612403538,0.04900936323860604,0.11140808936264142,0.11140808936264142,0.11140808936264142,1.0
0.10200000000000001,0.0001272596375242635,0.0024738983403223063,0.02341800872413289,0.06362981876213175,0.04947796680644613,0.11310778556857788,0.11310778556857788,0.11310778556857788,1.0
0.10300000000000001,0.00012974524078991994,0.0024973041023364454,0.023393476803202806,0.06487262039495997,0.04994608204672891,0.11481870244168887,0.11481870244168887,0.11481870244168887,1.0
0.10400000000000001,0.00013225423751313942,0.0025206852169672965,0.023368713998101,0.06612711875656971,0.05041370433934593,0.11654082309591564,0.11654082309591564,0.11654082309591564,1.0
0.105,0.00013478660293113676,0.0025440414534526976,0.023343720553226366,0.06739330146556838,0.05088082906905395,0.11827413053462232,0.11827413053462232,0.11827413053462232,1.0
