target_id,population_stratum,stiffness_n_per_m,damping_n_s_per_m,effective_mass_kg,actual_risk_class,actual_severity_ratio
broad_s10108_c04,broad,602.907679969324,2.035310667621882,0.133407020399715,SAFE,0.27761322905037394
broad_s10108_c05,broad,160.8945191757127,10.495522467503367,1.9451487668680254,CAUTION,1.270236175102799
broad_s10108_c06,broad,1803.975119313839,17.834749662667534,0.9358375664022689,SAFE,0.09325534738100615
broad_s10108_c07,broad,304.2642130744323,3.339295245829811,0.48010816110628085,SAFE,0.5681821045644055
broad_s10108_c08,broad,1187.2153141323627,1.0922174520567423,1.393273573954213,SAFE,0.14369210914174047
broad_s10108_c09,broad,549.1284720460291,4.31658247448394,0.7642520312844537,SAFE,0.3138854487771971
broad_s10108_c10,broad,102.2443689378588,7.405735518810811,2.9519979448725393,UNSAFE,2.2960345854258315
broad_s10108_c11,broad,94.20382205381976,1.3137254466842807,4.808173139363355,UNSAFE,4.985275611819718
broad_s10109_c00,broad,266.6970107584061,8.045951459088146,0.13350015521111142,SAFE,0.6265006590994615
broad_s10109_c01,broad,1716.9333110424066,21.271846588408938,1.174175641087436,SAFE,0.09827380954836469
broad_s10109_c02,broad,170.40174401436826,2.928271312100448,1.6023384509831051,CAUTION,1.3483734737846078
broad_s10109_c03,broad,2210.4126062063383,14.854869080646587,3.460588526019528,SAFE,0.07867911614180426
broad_s10109_c04,broad,82.07406146810493,33.310255936784614,0.27247108005668924,UNSAFE,2.0300805304184797
broad_s10109_c05,broad,200.7169460932341,4.41926704642394,2.83991047623719,UNSAFE,1.4000000000000001
broad_s10109_c06,broad,459.5785787358008,0.4778383177533909,0.9758130419685694,SAFE,0.38295630254083696
broad_s10109_c07,broad,963.0584013388149,2.147093184523784,4.954517514245073,UNSAFE,1.473
broad_s10109_c08,broad,113.46910218530581,0.40462379059615955,0.17082449606580644,CAUTION,1.5401264932607721
broad_s10109_c09,broad,1344.4728168918232,0.8607489775276114,0.46779985745311675,SAFE,0.12494449757090438
broad_s10109_c10,broad,752.6244201749233,39.77540749368028,0.6205669070790109,SAFE,0.22146101391655829
broad_s10109_c11,broad,422.5270100221662,1.3991326650094529,0.35252212843417613,SAFE,0.40142641077986346
broad_s10110_c00,broad,768.778371344094,2.791626482850132,1.4213540821434174,SAFE,0.22889008669875813
broad_s10110_c01,broad,127.31489394683962,57.020573884856226,0.4457344172523404,CAUTION,1.3082396814872246
broad_s10110_c02,broad,1929.4763614862775,0.5462744767491069,2.831683429368708,SAFE,0.09141665061729892
broad_s10110_c03,broad,1800.6215939087408,0.328441436337677,0.2886991902571636,SAFE,0.09288740403153568
broad_s10110_c04,broad,193.89106948097353,4.7258002655659554,0.8458960401954313,SAFE,0.9539110664423027
broad_s10110_c05,broad,407.7348916115385,23.403281577270135,5.839374551128342,SAFE,0.5309023887129913
broad_s10110_c06,broad,948.5200680715934,2.725267675427887,2.053112802909693,SAFE,0.18432306630206732
broad_s10110_c07,broad,315.50266590677796,14.584451494987869,3.6849427029788617,SAFE,0.6834019131958984
broad_s10110_c08,broad,142.48996629189685,9.69673464912667,0.11767103616000621,CAUTION,1.1696730022747186
broad_s10110_c09,broad,512.4323171230933,1.056471731176873,0.226793569515429,SAFE,0.328361483797073
broad_s10110_c10,broad,78.80296435378379,1.386637614286883,0.18941863762343086,UNSAFE,2.202625721903293
broad_s10110_c11,broad,1311.5586783367926,26.248089743751695,0.5556301748285432,SAFE,0.12767923926047525
broad_s10111_c00,broad,192.57195128828297,0.43710012120418046,2.788505529198213,UNSAFE,2.502393863091812
broad_s10111_c01,broad,156.23583649483527,11.275674447851731,0.6534305955795519,CAUTION,1.1048085429438876
broad_s10111_c02,broad,1297.7738022584174,55.92217072534603,3.032834873404001,SAFE,0.13218852209414383
broad_s10111_c03,broad,559.222513775575,23.268239975305043,0.12246873810148033,SAFE,0.29803282693577776
broad_s10111_c04,broad,1607.40760587122,9.315731309336728,0.26265315407115797,SAFE,0.10398825870237145
broad_s10111_c05,broad,132.3772763962307,2.578024622897354,1.2893701641654811,UNSAFE,1.733366189648442
broad_s10111_c06,broad,2464.077064056515,0.8407426011413742,0.5037403999301053,SAFE,0.06776790817850539
broad_s10111_c07,broad,253.5059736785649,5.553009630696079,5.4957074990465555,UNSAFE,1.5
broad_s10111_c08,broad,87.24084206674212,1.3515968800268845,0.18363530521099505,UNSAFE,1.9868681608894896
broad_s10111_c09,broad,325.218525403077,3.8646599573588927,1.8934030744850376,SAFE,0.742
broad_s10111_c10,broad,1005.5441798085609,0.54957836553736,0.9844461890376339,SAFE,0.16668509116693248
broad_s10111_c11,broad,758.3052891845175,26.102113891552914,0.38574643594983055,SAFE,0.22006466948660025
broad_s10112_c00,broad,110.9428519446346,0.8167876200658422,0.2275248696104431,CAUTION,1.5706363501500917
broad_s10112_c01,broad,607.2042923585925,19.59375738395877,0.3337603942147851,SAFE,0.2751735783572478
broad_s10112_c02,broad,151.16502150054993,6.48214733248975,0.12642389763034517,CAUTION,1.1053088411029723
broad_s10112_c03,broad,216.62488277693527,1.8258403246974946,4.910800971536619,UNSAFE,2.030311816280061
broad_s10112_c04,broad,1147.8035321887749,7.719442665641807,1.1140003804265566,SAFE,0.1475300699758056
broad_s10112_c05,broad,1579.9270676130504,1.423411563599991,1.0373175223960227,SAFE,0.1077717082729863
broad_s10112_c06,broad,80.90570967221548,29.51248891750097,0.5573696939594395,UNSAFE,2.059825966639339
broad_s10112_c07,broad,521.1742824660842,0.43063348857911493,0.1435992595083336,SAFE,0.3218969961472558
