observation_duration_s,noise_regime,feature_set,outcome,trial_count,median_absolute_error,p95_absolute_error,median_abs_relative_error,p95_abs_relative_error,upper_bound_coverage
0.5,high,physical_chirp_ringdown,hold_settling_time_s,240,0.0741677031448286,0.8403425914669339,0.24541404684836132,220112877.38369247,0.9625
1.0,low,chirp_only,peak_displacement_m,240,0.00022582744386692808,0.0024393573998932666,0.04645120871845104,0.16409271156537028,0.9708333333333333
1.0,low,chirp_only,peak_velocity_m_per_s,240,0.0005367184710824251,0.00646996194292551,0.04244264806740509,0.16556381097864406,0.975
1.0,low,chirp_only,late_hold_oscillation_rms_m,240,2.562144481322362e-07,0.001680864448725884,0.8726138203800291,16.973988128554094,0.9208333333333333
1.0,low,chirp_only,hold_settling_time_s,240,0.07071343198189028,0.9741129984090243,0.2471449827832286,282683064.8454642,0.9666666666666667
1.0,low,ringdown_only,peak_displacement_m,240,0.0017489682298352587,0.010460782121855234,0.37022785878948483,1.5969248310561193,0.9625
1.0,low,ringdown_only,peak_velocity_m_per_s,240,0.005656106949041792,0.03558748775708504,0.34932678500091374,1.3190833046314006,0.975
1.0,low,ringdown_only,late_hold_oscillation_rms_m,240,2.3081601106607257e-07,0.0017352026347642034,0.7891886531103087,8.555443148212099,0.95
1.0,low,ringdown_only,hold_settling_time_s,240,0.10761887735382045,1.4220588329893953,0.36530928751702896,594787160.4359461,0.9541666666666667
1.0,low,chirp_ringdown,peak_displacement_m,240,0.000165189497233674,0.0028970517799685822,0.039914360120114276,0.18756459570238196,0.9666666666666667
1.0,low,chirp_ringdown,peak_velocity_m_per_s,240,0.00046982473686201084,0.006083174971242922,0.03425332801951697,0.1316925380495207,0.975
1.0,low,chirp_ringdown,late_hold_oscillation_rms_m,240,1.815594550201554e-07,0.0017859782322747094,0.6652520313917234,5.032565373489317,0.9333333333333333
1.0,low,chirp_ringdown,hold_settling_time_s,240,0.06919114003713908,1.0002770813587196,0.2975826842207424,269718056.3901847,0.9666666666666667
1.0,low,physical_chirp_ringdown,peak_displacement_m,240,0.00015981651628586661,0.0027476674251309284,0.03740259647182069,0.17369406592397138,0.975
1.0,low,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0004781726783802771,0.006101449469762219,0.03477927847347409,0.13226255952291924,0.975
1.0,low,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,1.2980981829458217e-07,0.0015853245407268627,0.6397065526715662,5.220168994501905,0.9375
