predictor,feature_set,noise_regime,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_unsafe_rate,contact_loss_accuracy,contact_loss_recall,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe,brier_score,expected_calibration_error
outcome_bound,full_parameters,high,240,0.775,0.06493506493506493,0.020833333333333332,0.03067484662576687,0.9458333333333333,1.0,0.9626865671641791,0.7914110429447853,0.2682926829268293,0.4230769230769231,0.7076923076923077,0.9019607843137255,129,29,5,1,11,14,4,1,46,nan,nan
outcome_bound,full_parameters,low,240,0.7416666666666667,0.0,0.0,0.0736196319018405,0.9333333333333333,1.0,1.0,0.7361963190184049,0.18421052631578946,0.2692307692307692,0.6219512195121951,1.0,120,31,12,0,7,19,0,0,51,nan,nan
outcome_bound,full_parameters,nominal,240,0.7833333333333333,0.0,0.0,0.049079754601226995,0.9416666666666667,1.0,1.0,0.7668711656441718,0.2857142857142857,0.46153846153846156,0.6986301369863014,1.0,125,30,8,0,12,14,0,0,51,nan,nan
outcome_bound,stiffness_only,high,240,0.45416666666666666,0.025974025974025976,0.008333333333333333,0.22085889570552147,0.9125,1.0,0.9705882352941176,0.4049079754601227,0.014492753623188406,0.038461538461538464,0.4077669902912621,0.8235294117647058,66,61,36,0,1,25,2,7,42,nan,nan
outcome_bound,stiffness_only,low,240,0.4583333333333333,0.025974025974025976,0.008333333333333333,0.22085889570552147,0.9166666666666666,1.0,0.9714285714285714,0.4171779141104294,0.014705882352941176,0.038461538461538464,0.4019607843137255,0.803921568627451,68,59,36,0,1,25,2,8,41,nan,nan
outcome_bound,stiffness_only,nominal,240,0.45416666666666666,0.025974025974025976,0.008333333333333333,0.22085889570552147,0.9166666666666666,1.0,0.9710144927536232,0.4110429447852761,0.014492753623188406,0.038461538461538464,0.4019607843137255,0.803921568627451,67,60,36,0,1,25,2,8,41,nan,nan
outcome_bound,time_domain,high,240,0.7958333333333333,0.03896103896103896,0.0125,0.049079754601226995,0.95,1.0,0.9787234042553191,0.8466257668711656,0.2857142857142857,0.3076923076923077,0.6338028169014085,0.8823529411764706,138,17,8,0,8,18,3,3,45,nan,nan
outcome_bound,time_domain,low,240,0.7541666666666667,0.025974025974025976,0.008333333333333333,0.09815950920245399,0.9583333333333334,1.0,0.9841269841269841,0.7607361963190185,0.2857142857142857,0.38461538461538464,0.5949367088607594,0.9215686274509803,124,23,16,0,10,16,2,2,47,nan,nan
outcome_bound,time_domain,nominal,240,0.7625,0.012987012987012988,0.004166666666666667,0.06134969325153374,0.95,1.0,0.9922480620155039,0.7852760736196319,0.23684210526315788,0.34615384615384615,0.6301369863013698,0.9019607843137255,128,25,10,0,9,17,1,4,46,nan,nan
threshold_rule,time_domain,high,240,0.2125,0.0,0.0,0.9693251533742331,0.8791666666666667,0.6470588235294118,0.0,0.0,0.0,0.0,0.2170212765957447,1.0,0,5,158,0,0,26,0,0,51,nan,nan
threshold_rule,time_domain,low,240,0.2125,0.0,0.0,0.9570552147239264,0.8791666666666667,0.6470588235294118,0.0,0.0,0.0,0.0,0.21888412017167383,1.0,0,7,156,0,0,26,0,0,51,nan,nan
threshold_rule,time_domain,nominal,240,0.2125,0.0,0.0,0.9631901840490797,0.8791666666666667,0.6470588235294118,0.0,0.0,0.0,0.0,0.21794871794871795,1.0,0,6,157,0,0,26,0,0,51,nan,nan
