target_id,k,c,m,time_s,matlab_x,matlab_v,matlab_a,force
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.008,0.000135227409018605,-0.0295523343371957,-1.62107668145064,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.01,7.35484066749351e-05,-0.0317924216654898,-0.613070300786883,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.012,9.41846431899654e-06,-0.0320020531459045,0.398773662537675,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.014,-5.31361586564101e-05,-0.0302365529704659,1.35209906110485,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.016,-0.000110321351521689,-0.0266708549121291,2.19024352118287,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.018,-0.000158800686183065,-0.0215847256351925,2.865531821236,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.02,-0.000195885227049238,-0.0153420373513317,3.34190592499678,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.022,-0.000219677143914014,-0.0083655644499946,3.59675221125918,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.024,-0.000229159847889589,-0.00110900445978244,3.62184049931106,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.026,-0.000224230903776316,0.00597196272819451,3.42334696163023,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.028,-0.00020567761731043,0.0124477652401208,3.02099029295573,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.03,-0.000175098724570815,0.0179404802473404,2.4463640518379,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.032,-0.000134778810335248,0.0221453405484412,1.7405947395262,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.034,-8.75247666536829e-05,0.024847019619324,0.95149229449083,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.036,-3.64756245616702e-05,0.0259298690451853,0.130385296898314,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.038,1.51016513688197e-05,0.0253816819233324,-0.67115389308542,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.04,6.4017375645631e-05,0.0232909682969408,-1.40448896517089,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.042,0.000107352707466654,0.0198381281506581,-2.02681209392373,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.044,0.000142630056565263,0.0152812698392609,-2.50358075296279,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.046,0.000167950627618707,0.00993772599429493,-2.81036435443537,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.048,0.000182091748430264,0.00416254820858902,-2.93400697543621,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.05,0.000184559347441669,-0.00167459544702914,-2.87305764216428,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.052,0.000175593860097579,-0.00721264563989883,-2.63746631737082,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.054,0.000156130765456752,-0.01212106727756,-2.24758895733882,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.056,0.000127719704268626,-0.0161191515198592,-1.73258603909377,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.058,9.24085441781638e-05,-0.0189916050541753,-1.12833342384564,0
matlab_broad_s20101_c00,1830.79321889849,1.98984423815733,0.116446608229899,3.06,5.26006995679047e-05,-0.0205995926467367,-0.474990419923093,0
