target_id,peak_displacement,peak_velocity,oscillation,settling_time,risk_class,severity
matlab_boundary_86,0.0083060298705063,0.025237872877993,5.3364419477372e-05,1.446,SAFE,0.723
matlab_boundary_87,0.00866553101680908,0.0277799982764614,2.42055055432014e-10,0,SAFE,0.72212758473409
matlab_boundary_88,0.00865567146837008,0.0280048516195659,1.43530639910041e-10,0,SAFE,0.721305955697507
matlab_boundary_89,0.00612283492537197,0.0263680544123955,0.000112548999077248,1.436,SAFE,0.718
matlab_boundary_90,0.00861362193376859,0.0310093398025721,6.7518450038744e-09,0,SAFE,0.717801827814049
matlab_boundary_91,0.00859187529950894,0.0247744190097645,2.08166817117217e-17,0.0660000000000001,SAFE,0.715989608292412
matlab_boundary_92,0.00857476922309959,0.0286584892424234,8.12834055331413e-10,0,SAFE,0.714564101924966
matlab_boundary_93,0.00852997207127018,0.0318032802885963,6.35177354450265e-08,0,SAFE,0.710831005939182
matlab_boundary_94,0.00852831018820475,0.0286299814506112,1.680774917607e-06,0,SAFE,0.710692515683729
matlab_boundary_95,0.00845293493889774,0.0264095186197048,9.75895851345414e-09,0.238,SAFE,0.704411244908145
matlab_boundary_96,0.0084493783912931,0.0320446508181298,3.7672726092236e-05,1.068,SAFE,0.704114865941092
matlab_boundary_97,0.0084212147429791,0.0275407119944608,6.33219143925573e-12,0,SAFE,0.701767895248259
matlab_boundary_98,0.00714958767394264,0.0269275406494898,6.0722552253876e-05,1.402,SAFE,0.701
matlab_boundary_99,0.00837986559773005,0.0265180094914884,1.56125112837913e-17,0,SAFE,0.698322133144171
matlab_boundary_100,0.00836028670220304,0.0343880672409425,2.20487449046663e-05,0,SAFE,0.69669055851692
matlab_boundary_101,0.00834390136472359,0.0297119116196577,3.75931888371872e-09,0,SAFE,0.695325113726966
matlab_boundary_102,0.0083086720200633,0.0267982345943882,8.18729103819979e-14,0,SAFE,0.692389335005275
matlab_boundary_103,0.00825491111166622,0.0261761568343456,3.35377947774462e-13,0,SAFE,0.687909259305518
matlab_boundary_104,0.00818810887641851,0.0365194877681717,0.000141624403110096,0.92,SAFE,0.682342406368209
matlab_boundary_105,0.00815390284268758,0.0338429649286211,0.000108742331741987,0,SAFE,0.679491903557298
matlab_boundary_106,0.00814889475680498,0.0260345280915909,6.48964318656257e-14,0,SAFE,0.679074563067082
matlab_boundary_107,0.00805057914893776,0.0262615473926661,3.33806502589668e-12,0,SAFE,0.670881595744813
matlab_boundary_108,0.00446154581397164,0.0172266181029457,5.23794447287652e-05,1.336,SAFE,0.668
matlab_boundary_109,0.00799781755296481,0.0208112200583819,1.27890117781068e-11,0.16,SAFE,0.666484796080401
matlab_boundary_110,0.00796309189983361,0.0271808801304833,7.72663120192303e-08,0,SAFE,0.6635909916528
matlab_boundary_111,0.00790329708014229,0.0245535128457422,2.25514051876985e-17,0,SAFE,0.658608090011857
matlab_boundary_112,0.00787604401889268,0.0191434927716972,6.39217981518262e-10,0.24,SAFE,0.65633700157439
matlab_boundary_113,0.00785861652051098,0.0321116003632737,4.13891682153272e-05,0,SAFE,0.654884710042581
matlab_boundary_114,0.00776357317412492,0.0237211054476526,5.1213493609447e-10,0.196,SAFE,0.646964431177077
matlab_boundary_115,0.00776242313769393,0.0251141646141225,3.1393710401937e-10,0,SAFE,0.646868594807827
matlab_boundary_116,0.00775960174375614,0.0321151251454078,6.48907497939808e-05,0,SAFE,0.646633478646345
matlab_boundary_117,0.00772783880052274,0.0321600588391604,7.30235689799849e-05,1.094,SAFE,0.643986566710228
matlab_boundary_118,0.00771503710619708,0.0245272459523734,3.34937895666269e-05,1.278,SAFE,0.642919758849756
matlab_boundary_119,0.00768183763285109,0.0255851093253191,2.44336008192663e-06,0,SAFE,0.640153136070924
matlab_boundary_120,0.0076567256311661,0.0245294319328307,2.54880352711588e-07,0,SAFE,0.638060469263841
matlab_boundary_121,0.00764472811922646,0.0294294392571118,7.67331841812528e-07,0.234,SAFE,0.637060676602205
matlab_boundary_122,0.00758644285117859,0.0206780639400083,2.72674853520347e-08,0.374,SAFE,0.632203570931549
matlab_boundary_123,0.00754576869215282,0.0238390323121278,2.83977768596185e-16,0,SAFE,0.628814057679402
matlab_boundary_124,0.00754253684227824,0.0257679635192343,5.18896822403999e-09,0,SAFE,0.62854473685652
matlab_boundary_125,0.00749167202213834,0.023631787182689,1.12757025938492e-17,0,SAFE,0.624306001844862
matlab_boundary_126,0.00747892748361134,0.0221125123388429,1.38777878078145e-17,0.042,SAFE,0.623243956967611
matlab_boundary_127,0.00743296124280076,0.0326918157135873,3.03796856464893e-05,0,SAFE,0.619413436900064
matlab_boundary_128,0.00743069594419916,0.0219129332492591,1.99493199737333e-17,0.02,SAFE,0.619224662016596
matlab_boundary_129,0.00736904450560458,0.0242269947903935,3.49744371870892e-06,0,SAFE,0.614087042133715
matlab_boundary_130,0.00733302925668492,0.0227795779202799,1.28407045070336e-06,0.59,SAFE,0.61108577139041
matlab_boundary_131,0.00727155163553174,0.0337657180377996,2.70488798296317e-05,0,SAFE,0.605962636294311
matlab_boundary_132,0.00726770104920514,0.0259439188466053,2.74002546708311e-05,0,SAFE,0.605641754100429
matlab_boundary_133,0.00553992586669751,0.021122167405296,0.000133192114615554,1.204,SAFE,0.602
matlab_boundary_134,0.00721687914411601,0.0278357045708879,0.000128959990619277,0.572,SAFE,0.601406595343001
matlab_boundary_135,0.00445762357781282,0.0177327484223273,3.79640439257508e-05,1.202,SAFE,0.601
matlab_boundary_136,0.00455939222032937,0.0180944703307034,3.57427592417002e-05,1.2,SAFE,0.6
matlab_boundary_137,0.00719882820331129,0.024165798999819,1.4482192513077e-06,0,SAFE,0.599902350275941
matlab_boundary_138,0.0071984171602161,0.0238788647897159,4.94971910425241e-06,0,SAFE,0.599868096684675
matlab_boundary_139,0.00718853481703273,0.0228731706923828,5.9162748537891e-17,0,SAFE,0.59904456808606
matlab_boundary_140,0.00717503295107233,0.022691338923903,8.67361737988404e-18,0,SAFE,0.597919412589361
matlab_boundary_141,0.00716821233904706,0.0266136708271807,2.05022930051275e-06,0.348,SAFE,0.597351028253922
matlab_boundary_142,0.00716466485122678,0.0210210969721172,1.38777878078145e-17,0.048,SAFE,0.597055404268898
matlab_boundary_143,0.00710239441281104,0.0325733138862266,4.99806007106058e-05,0,SAFE,0.591866201067587
matlab_boundary_144,0.0070349226053859,0.0262510445824558,3.93451381920894e-06,0.56,SAFE,0.586243550448825
matlab_boundary_145,0.00171168852115094,0.00763617987834889,0.00012369068423878,1.172,SAFE,0.586
matlab_boundary_146,0.00436508432719,0.0161783744785277,2.78023096864294e-05,1.166,SAFE,0.583
matlab_boundary_147,0.00699362075278329,0.022564845426496,1.76427901201898e-07,0,SAFE,0.582801729398607
matlab_boundary_148,0.00695575233311919,0.0220353232531419,8.81465994794055e-06,0.92,SAFE,0.579646027759932
matlab_boundary_149,0.006941175009056,0.0218502892804064,1.38777878078145e-17,0,SAFE,0.578431250754667
matlab_boundary_150,0.0069343417278471,0.0237629763637917,2.27560320084857e-07,0,SAFE,0.577861810653925
matlab_boundary_151,0.00692616988393321,0.0220781212302555,4.03118759812485e-09,0,SAFE,0.5771808236611
matlab_boundary_152,0.00690433574395996,0.0218633617715204,2.08460504568366e-14,0,SAFE,0.575361311996663
matlab_boundary_153,0.00690114114006186,0.0236043745105018,4.82957381458626e-08,0,SAFE,0.575095095005155
matlab_boundary_154,0.00686791496416357,0.0230889588563429,6.02753174675324e-06,0,SAFE,0.572326247013631
matlab_boundary_155,0.00686637007564496,0.022043569182184,3.84773722398207e-07,0.476,SAFE,0.572197506303747
matlab_boundary_156,0.00329907314767874,0.0134865651676104,5.00126471383001e-05,1.138,SAFE,0.569
matlab_boundary_157,0.00681198774199978,0.021595945478839,2.46309961787701e-15,0,SAFE,0.567665645166649
matlab_boundary_158,0.00680898605046404,0.0209593266038776,8.67361737988404e-18,0,SAFE,0.567415504205337
matlab_boundary_159,0.00679846795784205,0.0229655308571435,2.98097986832919e-11,0,SAFE,0.566538996486837
matlab_boundary_160,0.00675405778038567,0.0239295487237078,8.39894078777257e-06,0,SAFE,0.562838148365473
matlab_boundary_161,0.0067371517971172,0.0205687463117153,9.08581668878289e-13,0.022,SAFE,0.561429316426433
matlab_boundary_162,0.00672784272463418,0.0187478565512231,1.58693604976929e-14,0.078,SAFE,0.560653560386182
matlab_boundary_163,0.00672551384943262,0.0231583205274915,3.14706400738875e-07,0,SAFE,0.560459487452718
matlab_boundary_164,0.00669204846079543,0.0213032834874573,1.20445477419102e-15,0,SAFE,0.557670705066286
matlab_boundary_165,0.00665941572403341,0.0297198730658854,2.26529187842569e-05,0,SAFE,0.554951310336117
matlab_boundary_166,0.00661202355391012,0.0191871529143333,2.52546656049015e-06,0.728,SAFE,0.551001962825844
matlab_boundary_167,0.00658437185798422,0.0232312954930101,6.69296585165613e-06,0,SAFE,0.548697654832019
matlab_boundary_168,0.00657050416341795,0.020999878486845,1.93783690102683e-14,0,SAFE,0.547542013618163
matlab_boundary_169,0.00656597494256271,0.0208327622343209,1.12268551332773e-17,0,SAFE,0.547164578546892
matlab_boundary_170,0.00651716624321007,0.0209628308351028,4.60600266122822e-12,0,SAFE,0.543097186934172
matlab_boundary_171,0.00648616249437498,0.0205094575709738,1.01817482037276e-17,0,SAFE,0.540513541197915
matlab_boundary_172,0.00647590874118734,0.0205350993493806,1.12312012759877e-17,0,SAFE,0.539659061765612
matlab_boundary_173,0.00645946597308869,0.0229770696924663,2.74701354833466e-06,0,SAFE,0.538288831090724
matlab_boundary_174,0.00645485072107142,0.0208589793637766,6.88237440719659e-11,0,SAFE,0.537904226755952
