time_s,contact_force_n,target_x_m,uav_x_m,pitch_rad
0.122,0.0,0.0,-0.29999358214229,0.0010806174398905464
0.123,0.0,0.0,-0.2999932857968527,0.0011102260297938939
0.124,0.0,0.0,-0.2999929785633254,0.0011403432648596553
0.125,0.0,0.0,-0.2999926601463513,0.001170971754945573
0.126,0.0,0.0,-0.29999233024555955,0.0012021140453138818
0.127,0.0,0.0,-0.2999919885555405,0.0012337726164427616
0.128,0.0,0.0,-0.29999163476582114,0.0012659498838503518
0.129,0.0,0.0,-0.29999126856084146,0.0012986481979310263
0.13,0.0,0.0,-0.2999908896199314,0.0013318698438036318
0.131,0.0,0.0,-0.2999904976172885,0.001365617041171406
0.132,0.0,0.0,-0.29999009222195605,0.0013998919441932847
0.133,0.0,0.0,-0.2999896730978018,0.0014346966413663253
0.134,0.0,0.0,-0.2999892399034977,0.0014700331554189715
0.135,0.0,0.0,-0.2999887922925,0.0015059034432148891
0.136,0.0,0.0,-0.29998832991302987,0.0015423093956671195
0.137,0.0,0.0,-0.29998785240805503,0.001579252837662282
0.138,0.0,0.0,-0.2999873594152718,0.001616735527994582
0.139,0.0,0.0,-0.29998685056708774,0.001654759159309377
0.14,0.0,0.0,-0.29998632549060505,0.001693325358056051
0.14100000000000001,0.0,0.0,-0.2999857838076047,0.001732435684449974
0.14200000000000002,0.0,0.0,-0.299985225134531,0.001772091632443301
0.14300000000000002,0.0,0.0,-0.2999846490824771,0.0018122946297043905
0.14400000000000002,0.0,0.0,-0.2999840552571706,0.0018530460376056167
0.145,0.0,0.0,-0.2999834432589606,0.0018943471512193593
0.146,0.0,0.0,-0.2999828126828047,0.001936199199321956
0.147,0.0,0.0,-0.29998216311825704,0.001978603344405407
0.148,0.0,0.0,-0.2999814941494569,0.002021560682696626
0.149,0.0,0.0,-0.29998080535511784,0.002065072244184045
0.15,0.0,0.0,-0.29998009630851763,0.0021091389926513617
0.151,0.0,0.0,-0.2999793665774887,0.002153761825718249
0.152,0.0,0.0,-0.29997861572440937,0.0021989415748878394
0.153,0.0,0.0,-0.2999778433061957,0.002244679005600782
0.154,0.0,0.0,-0.2999770488742939,0.002290974817295721
0.155,0.0,0.0,-0.29997623197467344,0.002337829643475989
0.156,0.0,0.0,-0.2999753921478209,0.0023852440517823648
0.157,0.0,0.0,-0.2999745289287342,0.0024332185440717143
0.158,0.0,0.0,-0.2999736418469179,0.0024817535565013547
0.159,0.0,0.0,-0.29997273042637856,0.002530849459618978
0.16,0.0,0.0,-0.2999717941856214,0.002580506558457976
0.161,0.0,0.0,-0.2999708326376471,0.0026307250926380166
0.162,0.0,0.0,-0.29996984528994947,0.0026815052364707074
0.163,0.0,0.0,-0.29996883164451366,0.0027328470990702217
0.164,0.0,0.0,-0.29996779119781514,0.0027847507244687106
0.165,0.0,0.0,-0.29996672344081915,0.0028372160917363976
0.166,0.0,0.0,-0.2999656278589809,0.0028902431151061826
0.167,0.0,0.0,-0.29996450393224644,0.0029438316441026463
0.168,0.0,0.0,-0.29996335113505407,0.0029979814636753063
0.169,0.0,0.0,-0.2999621689363363,0.003052692294336009
0.17,0.0,0.0,-0.2999609567995228,0.0031079637923003235
0.171,0.0,0.0,-0.29995971418254336,0.003163795549632819
0.17200000000000001,0.0,0.0,-0.29995844053783227,0.0032201870943961023
0.17300000000000001,0.0,0.0,-0.2999571353123327,0.003277137890803506
0.17400000000000002,0.0,0.0,-0.29995579794750193,0.003334647339375301
0.17500000000000002,0.0,0.0,-0.29995442787931714,0.0033927147770983386
0.176,0.0,0.0,-0.29995302453828204,0.0034513394775889973
0.177,0.0,0.0,-0.2999515873494338,0.0035105206512593395
0.178,0.0,0.0,-0.2999501157323508,0.003570257445486371
0.179,0.0,0.0,-0.29994860910116106,0.003630548944784306
0.18,0.0,0.0,-0.2999470668645509,0.0036913941709797262
0.181,0.0,0.0,-0.2999454884257749,0.0037527920833895652
0.182,0.0,0.0,-0.2999438731826657,0.0038147415790017953
0.183,0.0,0.0,-0.29994222052764496,0.0038772414926587445
0.184,0.0,0.0,-0.2999405298477348,0.003940290597242953
0.185,0.0,0.0,-0.29993880052456956,0.004003887603865476
0.186,0.0,0.0,-0.2999370319344086,0.004068031162056554
0.187,0.0,0.0,-0.2999352234481496,0.0041327198599585765
0.188,0.0,0.0,-0.299933374431342,0.004197952224521242
0.189,0.0,0.0,-0.2999314842442018,0.004263726721698854
0.19,0.0,0.0,-0.29992955224162626,0.004330041756649669
0.191,0.0,0.0,-0.2999275777732097,0.004396895673937227
0.192,0.0,0.0,-0.2999255601832597,0.004464286757733594
0.193,0.0,0.0,-0.2999234988108137,0.004532213232024446
0.194,0.0,0.0,-0.29992139298965653,0.004600673260815924
0.195,0.0,0.0,-0.29991924204833836,0.0046696649483432065
0.196,0.0,0.0,-0.2999170453101932,0.004739186339280727
0.197,0.0,0.0,-0.2999148020933581,0.004809235418953977
0.198,0.0,0.0,-0.2999125117107928,0.004879810113552836
0.199,0.0,0.0,-0.2999101734703002,0.004950908290346373
0.2,0.0,0.0,-0.2999077866745469,0.0050225277578990635
0.201,0.0,0.0,-0.2999053506210849,0.005094666266288366
0.202,0.0,0.0,-0.2999028646023738,0.0051673215073235945
0.203,0.0,0.0,-0.29990032790580295,0.005240491114766079
0.20400000000000001,0.0,0.0,-0.2998977398137149,0.005314172664550509
0.20500000000000002,0.0,0.0,-0.2998950996034292,0.005388363675007439
0.20600000000000002,0.0,0.0,-0.2998924065472664,0.005463061607086932
0.20700000000000002,0.0,0.0,-0.2998896599125732,0.0055382638645832495
0.20800000000000002,0.0,0.0,-0.2998868589617479,0.005613967794360594
0.209,0.0,0.0,-0.299884002952266,0.005690170686579821
0.21,0.0,0.0,-0.2998810911367073,0.005766869774926116
0.211,0.0,0.0,-0.2998781227627824,0.005844062236837574
0.212,0.0,0.0,-0.2998750970733609,0.005921745193734659
0.213,0.0,0.0,-0.29987201330649915,0.0059999157112504975
0.214,0.0,0.0,-0.2998688706954693,0.006078570799461984
0.215,0.0,0.0,-0.2998656684687885,0.00615770741312165
0.216,0.0,0.0,-0.29986240585024865,0.006237322451890302
0.217,0.0,0.0,-0.29985908205894685,0.00631741276057033
0.218,0.0,0.0,-0.2998556963093163,0.006397975129339734
0.219,0.0,0.0,-0.2998522478111578,0.006479006293986797
0.22,0.0,0.0,-0.2998487357696717,0.006560502936145386
0.221,0.0,0.0,-0.2998451593854903,0.006642461683530856
0.222,0.0,0.0,-0.299841517854711,0.006724879110176547
0.223,0.0,0.0,-0.29983781036893015,0.006807751736670829
0.224,0.0,0.0,-0.29983403611527654,0.006891076030394695
0.225,0.0,0.0,-0.2998301942764466,0.006974848405759858
0.226,0.0,0.0,-0.29982628403073913,0.007059065224447367
0.227,0.0,0.0,-0.29982230455209125,0.007143722795646683
0.228,0.0,0.0,-0.29981825501011444,0.007228817376295236
0.229,0.0,0.0,-0.2998141345701313,0.007314345171318411
0.23,0.0,0.0,-0.29980994239321257,0.007400302333869985
0.231,0.0,0.0,-0.29980567763621513,0.007486684965572974
0.232,0.0,0.0,-0.29980133945182,0.007573489116760881
0.233,0.0,0.0,-0.2997969269885712,0.007660710786719345
0.234,0.0,0.0,-0.2997924393909148,0.007748345923928168
0.23500000000000001,0.0,0.0,-0.2997878757992389,0.007836390426303717
0.23600000000000002,0.0,0.0,-0.2997832353499135,0.007924840141441684
0.23700000000000002,0.0,0.0,-0.29977851717533166,0.008013690866860207
0.23800000000000002,0.0,0.0,-0.29977372040395034,0.008102938350243333
0.23900000000000002,0.0,0.0,-0.2997688441603322,0.008192578289684817
0.24,0.0,0.0,-0.299763887565188,0.008282606333932262
0.241,0.0,0.0,-0.29975884973541894,0.008373018082631589
0.242,0.0,0.0,-0.29975372978416004,0.008463809086571815
0.243,0.0,0.0,-0.29974852682082365,0.00855497484793019
0.244,0.0,0.0,-0.29974323995114377,0.008646510820517591
0.245,0.0,0.0,-0.29973786827722043,0.008738412410024295
0.246,0.0,0.0,-0.2997324108975648,0.008830674974266034
