feature_set,noise_regime,outcome,trial_count,median_abs_relative_error,p95_abs_relative_error,relative_rmse,relative_bias,bound_kind,bound_coverage,median_bound_ratio
frequency_response,nominal,force_to_displacement_gain_m_per_n,240,0.12223175457257524,0.5999201308493364,0.2971457786852177,0.05344178605787578,upper,0.9166666666666666,1.4881361468968444
frequency_response,nominal,disturbance_limited_safe_force_n,240,0.1486596163447737,0.5064627983624083,0.25370008035049313,0.021949130879422452,lower,0.9458333333333333,0.6702717646492082
frequency_response,high,peak_displacement_m,240,0.12559276916400922,0.6419116009734096,0.3095932378256643,0.05943406801981629,upper,0.925,1.4878405887171655
frequency_response,high,peak_velocity_m_per_s,240,0.090280411752787,0.43256248530774694,0.21681146323227635,0.030973168007077487,upper,0.95,1.3094679192233376
frequency_response,high,dominant_response_frequency_hz,240,0.2746385882171724,5.09894767988925,2.1520284900435747,0.5517932590991294,upper,0.9625,2.199314350193805
frequency_response,high,late_hold_oscillation_rms_m,240,0.145250853244955,1.7481664334553608,32.30353958059992,4.065621727996782,upper,0.9791666666666666,3.808860142331776
frequency_response,high,hold_settling_time_s,240,0.5419244472019329,230911.39787536868,114958.07480077505,45662.57701760577,upper,0.9208333333333333,298844.33821963833
frequency_response,high,force_to_displacement_gain_m_per_n,240,0.1255927691640077,0.6419116009733934,0.30959323782566245,0.059434068019813116,upper,0.925,1.48784058871717
frequency_response,high,disturbance_limited_safe_force_n,240,0.15153564020714336,0.5275459497185658,0.25892359495414813,0.02007986827368985,lower,0.9458333333333333,0.6634772416988326
time_domain,low,peak_displacement_m,240,0.1481199283172553,0.3429030947957265,0.21490725866893562,-0.002514571254382589,upper,0.975,1.2676239920136227
time_domain,low,peak_velocity_m_per_s,240,0.1264257153024625,0.38776994477723303,0.17938144927467445,0.005106943212763928,upper,0.975,1.2235391046844664
time_domain,low,dominant_response_frequency_hz,240,0.1299525103558129,3.169638374554012,2.2925988702180553,0.45727026677900123,upper,0.9541666666666667,1.4696374226725972
time_domain,low,late_hold_oscillation_rms_m,240,0.5044992223466894,8.744137244194063,5.078644609762862,1.3453025487954562,upper,0.9541666666666667,14.705851000185685
time_domain,low,hold_settling_time_s,240,0.7330491980110221,427976.4920985067,173082.6627598305,72918.21108800429,upper,0.9541666666666667,655798.638150556
