target,pipeline,timing_profile,trial_count,failure_fraction,stiffness_relative_bias,stiffness_median_abs_relative_error,stiffness_p95_abs_relative_error,damping_relative_bias,damping_median_abs_relative_error,damping_p95_abs_relative_error,effective_mass_relative_bias,effective_mass_median_abs_relative_error,effective_mass_p95_abs_relative_error
high_damping,centered_savitzky_golay,corrected_common_delay,20,0.0,0.015808522255495984,0.014815662690743163,0.022162776707286044,-0.0396902678709891,0.04028287738788123,0.05470272964909638,0.31946847347974944,0.32299595844588325,0.3705703346907409
low_effective_mass,backward_difference,synchronized,20,0.0,-0.2833146829291387,0.28335113319383876,0.2918800725998671,-0.18899824041697594,0.18851357083436265,0.19651994857665023,-0.9088575432264744,0.9083307937610599,0.9376628452837239
low_effective_mass,causal_low_pass,synchronized,20,0.0,-0.04608116959026773,0.04541660047025431,0.05329680635360608,-0.21265594761298737,0.2120301162248372,0.219457527252467,-0.11034427784538851,0.10646345271628027,0.13683499810398453
low_effective_mass,causal_polynomial,synchronized,20,0.0,-0.16787452176163553,0.16784110788404055,0.17123623911893293,-1.6211235210397503,1.6207872868182136,1.630062572624632,0.18967683885123438,0.18884440588568946,0.20353471707802412
low_effective_mass,alpha_beta_gamma,synchronized,20,0.0,-0.08777205900175969,0.08788999271595599,0.09159453964873107,-1.8710151349865594,1.8710643735377197,1.8768858999648261,0.15737776552799193,0.15589943795869393,0.16547429865560787
low_effective_mass,centered_savitzky_golay,synchronized,20,0.0,0.020773862715130976,0.02091861098930669,0.02446833346848257,-0.06709735340860656,0.06557679370961714,0.07309712337567631,0.5313494730021134,0.5327916508275629,0.5427239343750249
low_effective_mass,backward_difference,exp_0002_nominal_timing,20,0.0,-0.25851085288272274,0.2587820430810972,0.266406734744686,-0.20610108994309337,0.20541030204752514,0.2126204942974586,-0.9225552908097561,0.9240374400827291,0.9480994253127835
low_effective_mass,causal_low_pass,exp_0002_nominal_timing,20,0.0,-0.04119061092923217,0.040581333730791674,0.048407499702696734,-0.234093752674349,0.2348145320898759,0.24036934844919136,-0.18986059985473586,0.18814315722620517,0.21429382078163922
low_effective_mass,causal_polynomial,exp_0002_nominal_timing,20,0.0,-0.14597752956744584,0.1464330272499986,0.15002041915964232,-1.567424544135998,1.566802091286347,1.578012224526768,0.12970497277071774,0.12893876824666334,0.14283517644993354
low_effective_mass,alpha_beta_gamma,exp_0002_nominal_timing,20,0.0,-0.07746293407417351,0.07754285460214513,0.08114296396775886,-1.8552115327370522,1.8549712163869803,1.8616343541948481,0.11668890606984435,0.11625666393032835,0.12552288835306985
low_effective_mass,centered_savitzky_golay,exp_0002_nominal_timing,20,0.0,0.019209040296880035,0.01927556672447546,0.02317630067664637,-0.10613256254912155,0.10563497096239036,0.11166316633083456,0.38211460542113057,0.38347744728763095,0.39613266536402353
low_effective_mass,backward_difference,exp_0002_nominal_plus_mismatch,20,0.0,-0.25400616889895095,0.25324787191236464,0.30683943378817496,-0.21605087121545435,0.21274419661060545,0.2448747028842676,-0.9254846480786709,0.9269588440068213,0.9558728096539943
low_effective_mass,causal_low_pass,exp_0002_nominal_plus_mismatch,20,0.0,-0.040974716704651415,0.043125452159769394,0.05022109524840998,-0.24527152012352488,0.24352133138867105,0.2929775162904099,-0.20656524559450823,0.21134249228019014,0.3180431649754759
